Evaluation of a Population with size 30, on Track "Track6", using the following GA operators: 
Selection: DefaultSelectionOperator
Recombination: RandomRecombination
Mutation: MutateAllButBestTwo
FitnessCalculation: DefaultFitnessCalculation

1	0,1064553; 1	0,03496806; 1	0,02989447; 1	0,02423066; 1	0,02114436; 1	0,0206016; 1	0,01344659; 1	0,01269621; 1	0,01142487; 1	0,01015886; 1	0,008283407; 1	0,007662748; 1	0,006375746; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 
39	1; 39	1; 39	1; 39	1; 39	1; 39	1; 39	1; 39	1; 39	1; 39	0,8518561; 39	0,5717437; 39	0,5223221; 39	0,3068559; 39	0,2639325; 39	0,2561536; 39	0,2547397; 39	0,254263; 39	0,2376633; 39	0,2338609; 39	0,2319399; 39	0,2006136; 39	0,07151042; 39	0,06660793; 39	0,03426151; 39	0,02131344; 39	0,01775349; 39	0; 39	0; 39	0; 39	0; 
40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	1; 40	0,5759812; 40	0,5684777; 40	0,2570001; 40	0,2565556; 40	0,229834; 40	0,2245166; 40	0,08668852; 40	0,07885764; 40	0,03156857; 40	0,01019761; 40	0,006048224; 40	0; 40	0; 40	0; 40	0; 
41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	1; 41	0,5644938; 41	0,5526754; 41	0,2661769; 41	0,2648484; 41	0,2269449; 41	0,08614092; 41	0,06247822; 41	0,05519714; 41	0,03818332; 41	0,0263379; 41	0,01670131; 41	0,01355768; 41	0,01241378; 41	0; 
42	1; 42	1; 42	1; 42	1; 42	1; 42	1; 42	1; 42	1; 42	1; 42	1; 42	1; 42	0,8518561; 42	0,7400145; 42	0,6935987; 42	0,5460973; 42	0,5437176; 42	0,3284252; 42	0,2648433; 42	0,2437303; 42	0,2425869; 42	0,2388238; 42	0,232438; 42	0,2245166; 42	0,07301216; 42	0,06982568; 42	0,03271697; 42	0,01106796; 42	0,008494717; 42	0,008242439; 42	0; 
43	1; 43	1; 43	1; 43	1; 43	1; 43	1; 43	1; 43	1; 43	1; 43	0,8100054; 43	0,2672474; 43	0,2612522; 43	0,2577924; 43	0,2494737; 43	0,2342549; 43	0,2333109; 43	0,2324714; 43	0,2314515; 43	0,2303417; 43	0,1064553; 43	0,08474402; 43	0,06751332; 43	0,01256437; 43	0,01126208; 43	0,01105383; 43	0; 43	0; 43	0; 43	0; 43	0; 
44	1; 44	1; 44	1; 44	1; 44	1; 44	1; 44	0,4303554; 44	0,3290467; 44	0,2655942; 44	0,244651; 44	0,2405197; 44	0,2376499; 44	0,2313309; 44	0,2278654; 44	0,2051031; 44	0,08087108; 44	0,06691858; 44	0,03270651; 44	0,03042014; 44	0,02625764; 44	0,02164488; 44	0,02097832; 44	0,008056; 44	0,008014446; 44	0,004683949; 44	0; 44	0; 44	0; 44	0; 44	0; 
45	1; 45	1; 45	1; 45	1; 45	1; 45	1; 45	1; 45	1; 45	1; 45	1; 45	1; 45	1; 45	1; 45	0,8518561; 45	0,8518561; 45	0,5631018; 45	0,2547975; 45	0,2531328; 45	0,2314769; 45	0,2245166; 45	0,02985347; 45	0,02934666; 45	0,01308616; 45	0,008209233; 45	0,007795014; 45	0; 45	0; 45	0; 45	0; 45	0; 
46	1; 46	1; 46	1; 46	1; 46	1; 46	1; 46	1; 46	1; 46	1; 46	1; 46	1; 46	1; 46	1; 46	1; 46	0,8518561; 46	0,8518561; 46	0,4303554; 46	0,4303554; 46	0,2344426; 46	0,2245166; 46	0,05519714; 46	0,03453588; 46	0,005834809; 46	0,003698654; 46	0; 46	0; 46	0; 46	0; 46	0; 46	0; 
47	1; 47	1; 47	1; 47	1; 47	1; 47	0,8745753; 47	0,8518561; 47	0,8518561; 47	0,8518561; 47	0,7389009; 47	0,3741354; 47	0,2572825; 47	0,2543173; 47	0,2492709; 47	0,2491801; 47	0,2402706; 47	0,2298371; 47	0,2245166; 47	0,2059846; 47	0,2012255; 47	0,1896601; 47	0,174773; 47	0,08495584; 47	0,08435982; 47	0,0195736; 47	0,01350741; 47	0,002259178; 47	0; 47	0; 47	0; 
48	1; 48	1; 48	1; 48	1; 48	0,8518561; 48	0,8518561; 48	0,8518561; 48	0,7918695; 48	0,5784576; 48	0,5540588; 48	0,3281491; 48	0,3241788; 48	0,2929153; 48	0,257644; 48	0,2465508; 48	0,2437424; 48	0,2417754; 48	0,2289024; 48	0,2245166; 48	0,2245166; 48	0,1871199; 48	0,05519714; 48	0,01797383; 48	0,01518042; 48	0,003624866; 48	0; 48	0; 48	0; 48	0; 48	0; 
49	1; 49	1; 49	1; 49	1; 49	1; 49	1; 49	1; 49	1; 49	0,8518561; 49	0,3271985; 49	0,3231968; 49	0,264501; 49	0,2544532; 49	0,2519237; 49	0,2311787; 49	0,2308895; 49	0,2258988; 49	0,2245166; 49	0,2056897; 49	0,1829752; 49	0,06760144; 49	0,05657112; 49	0,0350045; 49	0,01153225; 49	0,007487427; 49	0; 49	0; 49	0; 49	0; 49	0; 
50	1; 50	1; 50	1; 50	1; 50	1; 50	1; 50	1; 50	1; 50	1; 50	1; 50	1; 50	1; 50	0,8518561; 50	0,8518561; 50	0,8518561; 50	0,8518561; 50	0,2685776; 50	0,2630714; 50	0,2595421; 50	0,2581477; 50	0,1878852; 50	0,1768522; 50	0; 50	0; 50	0; 50	0; 50	0; 50	0; 50	0; 50	0; 
